word_count,estimated_duration,duration_diff,hook_word_count,hook_has_question,hook_curiosity_score,cta_present,question_count,number_count,emotional_density,avg_sentence_len,has_listicle,line_count,you_count,urgency_score,script_text,target_score,viral_label
40.0,16.0,14.0,13.0,0.0,1.0,1.0,0.0,5.0,2.5,10.0,0.0,2.0,1.0,0.0,"The 50/30/20 budgeting rule is failing in 2026, do this instead!
Look at this luxury setup with modular kitchen and balcony. Located 10 mins from IT park. Comment 'HOME' below and I will DM you the direct tour!",80.45,1
28.0,11.2,18.8,10.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,2.0,0.0,"This is a flat in city center call for details.
It has nice rooms and good lighting. Hope you guys like it. Let me know what you think.",47.59,0
40.0,16.0,14.0,13.0,0.0,1.0,1.0,0.0,5.0,2.5,10.0,0.0,2.0,1.0,0.0,"The 50/30/20 budgeting rule is failing in 2026, do this instead!
Look at this luxury setup with modular kitchen and balcony. Located 10 mins from IT park. Comment 'HOME' below and I will DM you the direct tour!",92.18,1
28.0,11.2,18.8,10.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,2.0,2.0,0.0,"Hey friends check out this new app I downloaded yesterday.
It has nice rooms and good lighting. Hope you guys like it. Let me know what you think.",60.08,0
40.0,16.0,14.0,13.0,0.0,1.0,1.0,0.0,2.0,5.0,10.0,0.0,2.0,2.0,1.0,"Stop scrolling if you have ₹50 Lakhs budget and want a dream home!
Look at this luxury setup with modular kitchen and balcony. Located 10 mins from IT park. Comment 'HOME' below and I will DM you the direct tour!",81.69,1
30.0,12.0,18.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,2.0,3.0,1.0,"Today I am sharing some random tips on how to improve your life.
Thank you for watching this video. Do not forget to like and share if you enjoyed it.",60.47,0
35.0,14.0,16.0,11.0,1.0,0.0,1.0,0.0,4.0,0.0,8.75,1.0,2.0,1.0,0.0,"How I built a Shopify brand with ₹0 in inventory costs!
Number 1 tool generates pitch decks in 30 seconds. Number 2 creates realistic AI voices. Comment 'AI' for direct links sent to your inbox!",92.89,1
27.0,10.8,19.2,10.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,2.0,1.0,0.0,"Hey friends check out this new app I downloaded yesterday.
It is very important to manage your time and work hard every day. Subscribe for more videos.",47.49,0
35.0,14.0,16.0,11.0,1.0,0.0,1.0,0.0,7.0,0.0,11.666666666666666,0.0,2.0,0.0,1.0,"How I built a Shopify brand with ₹0 in inventory costs!
Instead of 50/30/20, use 40% for essentials, 30% invested immediately, and 30% for skills. Save this reel and share with a friend!",94.57,1
32.0,12.8,17.2,14.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,2.0,1.0,"Hello guys welcome back to my channel today we will talk about real estate.
It has nice rooms and good lighting. Hope you guys like it. Let me know what you think.",63.74,0
